registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/redis-db-5.0.9,1.2.3,sha256:1fb39c7f9c16b8668bbc92416bc55e2ad4d94020a61decaf634f3464e24f2d48,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.9,1.2.3,sha256:399bc06aee99a925734af09bc5bbb934d5d00f261309a40045d20899568c1d8c,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.9,1.2.3,sha256:99f6020211b2e69722b9c6d6100a48fde506c06860ba957764ef9c30141f8d89,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.9,1.2.3,sha256:ad94fe2072450af2687d42ece502889a7b62ad5bdb77a63db50f26632bb2d1a5,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.9,1.3.0,sha256:1f6ed6d1fc145c98a223c773face1465f1a3db454547e7d1d0cae90d92bb3306,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.9,1.3.0,sha256:5dc5b4334c24b384bf6b9668b123ff66de11780629d1de5a089b8ad5cf953672,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.9,1.3.0,sha256:ea916fc36b267e8f4a43e31b3984808a5fee8613881b538e07703a3c1e124444,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.9,1.3.0,sha256:cb487240ad7808eb0e98f2ed031c92275a3eeef439efca28a474e9fdfcf1df58,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.9,1.3.1,sha256:a9872f87afdb77fdd56d43d68f99301c96cddae11d3ce56fad31038b016ead88,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.9,1.3.1,sha256:2df414b2c8d666257f498772a2151b574e4202cc21d2f364b5e9060e9c58be57,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.9,1.3.1,sha256:1b08f18baab855ca28fcd308968e49548375dc1f94088df8f54a26a0bb5931e8,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.9,1.3.1,sha256:d403c796c6e77a78ec960eeff1e0de79496bf9ee49810a36a15b669ab25dc8b8,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.9,1.3.2,sha256:5b1d73c89fffa2b34f3cdc4d44b6891769d1743f932f24e7f20ba7411606b390,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.9,1.3.2,sha256:fa5ed39717524390dfc151decc2213458e3839c87a430a0ef844f2814a511ffa,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.9,1.3.2,sha256:b3a9ac4a6f7fddbd897fa9dda34a64fdb0798ac03a20616b1859a32edb9afce7,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.9,1.3.2,sha256:df5b460435671cbf0e4e476ee9eb3ae56b7efa4d93e19589a9aea465770e8338,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.9,1.3.3,sha256:39c0ac7ce06424a752d3ddece7de9535ca3dcdb26dab849f8aab04acc2f54d97,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.9,1.3.3,sha256:7f61e601b912667bac6a449072e6d468ff5f6e2f75c07bbce9233f8e5ef7f678,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.9,1.3.3,sha256:abbe1f13e9a0c6f0b82654945e4a131db7c520c4027ce279ace1b4a44c71eefe,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.9,1.3.3,sha256:8f03b3d002d1bb81142f972dd06266e7be52b8a3281b7bbbfc2cdf3198456f2d,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.9,1.4.0,sha256:624eaa96d4f3b0e802b51280499799d39b80308bdb18f3ad328c4721fe29bbd1,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.9,1.4.0,sha256:3ac0f915b23a6386f83dc412b254bd1bd8e443a9701ed62f5eff3bd0c74d038b,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.9,1.4.0,sha256:91a4ca7ed09089c9b4f6dbadece04bd74761110914d1f12e57400bdc720b205d,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxylog-5.0.9,1.4.0,sha256:8a20ed591bdb30ca49bd7bb63e1e40ac3b9a62235b9de24bc7374d14f43684d8,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-db-5.0.9,1.4.1,sha256:abb62a26a37480e547aa8f89cf9e5ca78a934530aae5330799ebe9f3bdec6a55,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-mgmt-5.0.9,1.4.1,sha256:934b641167b985a13f1b39528bdb60a9a6b2e26c7e67dd9ab584dda44100bd12,LIST,"","","",0,CASE,"",""
cp.icr.io,cp/redis-proxy-5.0.9,1.4.1,sha256:59ab41ae0890744cce5ce427b2fa35eb5261bf3feca074d6d3652e1788ee9fff,LIST,"","","",0,CASE,"",""
